R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.1E-5,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.6E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,9.6E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.8E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,8.5E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.9E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,7.4E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,3.0E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,6.5E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,3.2E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,7.5E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,3.0E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,9.5E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.7E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.0E-5,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.6E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,1.0E-5,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.7E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,9.6E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.7E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,8.7E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,2.8E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,7.6E-6,0.054,0.054,0.0,340.0,6.3,0.0,0.0,3.0E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,6.7E-6,0.054,0.054,0.0,330.0,6.3,0.0,0.0,3.1E7,1.0,7.0E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,5.9E-6,0.054,0.054,0.0,330.0,6.3,0.0,0.0,3.2E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,7.5E-6,0.054,0.054,0.0,330.0,6.3,0.0,0.0,2.9E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,8.8E-6,0.054,0.054,0.0,330.0,6.3,0.0,0.0,2.8E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,9.1E-6,0.054,0.054,0.0,330.0,6.3,0.0,0.0,2.7E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,8.7E-6,0.054,0.054,0.0,320.0,6.3,0.0,0.0,2.8E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,8.0E-6,0.054,0.054,0.0,320.0,6.3,0.0,0.0,2.9E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,7.2E-6,0.054,0.054,0.0,320.0,6.3,0.0,0.0,3.0E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,6.3E-6,0.054,0.054,0.0,310.0,6.3,0.0,0.0,3.1E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,5.6E-6,0.054,0.054,0.0,310.0,6.3,0.0,0.0,3.3E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,6.2E-6,0.054,0.054,0.0,310.0,6.3,0.0,0.0,3.1E7,1.0,6.9E8,
1.3000000000000001E-37,0.014,4100.0,4200.0,2800.0,3799999.9999999995,6400.0,1600.0,2000.0,240.0,800.0,0.19,3799999.9999999995,7.7E-6,0.054,0.054,0.0,310.0,6.3,0.0,0.0,2.9E7,1.0,6.9E8,
