R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,3.1E-5,0.068,0.068,0.0,390.0,5.5,3.0E-20,1.0E-29,0.56,1.7E7,1.0,6.9E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.18,3799999.9999999995,0.0,2.7E-5,0.068,0.068,0.0,390.0,5.5,3.2E-20,4.0E-30,0.56,1.8E7,1.0,6.9E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.5E-5,0.068,0.068,0.0,390.0,5.5,3.4E-20,2.2000000000000002E-30,0.55,1.8E7,1.0,6.8E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.6E-5,0.068,0.068,0.0,390.0,5.5,3.6E-20,1.6E-30,0.55,1.8E7,1.0,6.8E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.5E-5,0.068,0.068,0.0,390.0,5.5,3.8E-20,1.5000000000000001E-30,0.55,1.8E7,1.0,6.8E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.2E-5,0.068,0.068,0.0,380.0,5.5,4.1E-20,1.4000000000000001E-30,0.55,1.9E7,1.0,6.7E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.2E-5,0.067,0.067,0.0,370.0,5.5,4.3E-20,1.3000000000000001E-30,0.55,1.9E7,1.0,6.7E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.3E-5,0.067,0.067,0.0,370.0,5.5,4.5E-20,1.5000000000000001E-30,0.55,1.8E7,1.0,6.7E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,2.1E-5,0.067,0.067,0.0,370.0,5.5,4.8E-20,1.5000000000000001E-30,0.55,1.9E7,1.0,6.7E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.9E-5,0.067,0.067,0.0,370.0,5.5,5.2E-20,1.5000000000000001E-30,0.55,2.0E7,1.0,6.7E8,
1.3000000000000001E-37,0.021,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.6E-5,0.067,0.067,0.0,370.0,5.5,5.6E-20,1.4000000000000001E-30,0.55,2.1E7,1.0,6.7E8,
1.3000000000000001E-37,0.02,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.5E-5,0.067,0.067,0.0,370.0,5.4,5.9E-20,1.3000000000000001E-30,0.54,2.1E7,1.0,6.7E8,
1.3000000000000001E-37,0.02,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.7E-5,0.067,0.067,0.0,370.0,5.4,6.2E-20,1.4000000000000001E-30,0.54,2.0E7,1.0,6.7E8,
1.3000000000000001E-37,0.02,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.7E-5,0.067,0.067,0.0,360.0,5.4,6.5E-20,1.6E-30,0.54,2.0E7,1.0,6.7E8,
1.3000000000000001E-37,0.02,4000.0,6500.0,1900.0,3699999.9999999995,2900.0,1500.0,1900.0,220.0,2300.0,0.17,3699999.9999999995,0.0,1.5E-5,0.067,0.067,0.0,360.0,5.4,6.9E-20,1.6E-30,0.54,2.1E7,1.0,6.7E8,
