R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.6E-5,0.048,0.048,0.0,350.0,19.0,0.0,0.0,2.6E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.1E-5,0.048,0.048,0.0,350.0,19.0,0.0,0.0,2.8E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.0E-5,0.048,0.048,0.0,340.0,19.0,0.0,0.0,2.8E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.7E-5,0.048,0.048,0.0,340.0,19.0,0.0,0.0,2.6E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.8E-5,0.048,0.048,0.0,340.0,19.0,0.0,0.0,2.5E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.7E-5,0.048,0.048,0.0,340.0,19.0,0.0,0.0,2.6E7,1.0,7.2E8,
1.1E-37,0.015,560.0,7.9,6000.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,3.3E-5,0.048,0.048,0.0,340.0,19.0,0.0,0.0,2.7E7,1.0,7.2E8,
2.9E-37,0.042,2000.0,19000.0,25000.0,4600000.0,2500.0,1400.0,1900.0,220.0,2300.0,0.17,4600000.0,8.0E-5,0.064,0.064,0.0,350.0,23.0,0.0,0.0,2.8E7,1.0,7.3E8,
6.400000000000001E-38,0.0094,2000.0,1800.0,4800.0,4400000.0,2500.0,1400.0,1900.0,220.0,2300.0,0.17,4400000.0,1.3E-5,0.05,0.05,0.0,350.0,7.2,0.0,0.0,2.7E7,1.0,7.2E8,
6.300000000000001E-38,0.0092,2000.0,1800.0,4800.0,4200000.0,2500.0,1400.0,1900.0,220.0,2300.0,0.17,4200000.0,1.5E-5,0.048,0.048,0.0,350.0,7.1,0.0,0.0,2.5E7,1.0,7.2E8,
6.200000000000001E-38,0.0091,2000.0,1800.0,4800.0,3999999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3999999.9999999995,1.7E-5,0.047,0.047,0.0,350.0,6.9,0.0,0.0,2.4E7,1.0,7.2E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3899999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.9E-5,0.046,0.046,0.0,340.0,6.8,0.0,0.0,2.3E7,1.0,7.2E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.2E-5,0.046,0.046,0.0,340.0,6.8,0.0,0.0,2.1E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.4E-5,0.046,0.046,0.0,340.0,6.8,0.0,0.0,2.1E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.3E-5,0.046,0.046,0.0,340.0,6.8,0.0,0.0,2.1E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,2.1E-5,0.046,0.046,0.0,340.0,6.8,0.0,0.0,2.2E7,1.0,7.1E8,
6.100000000000001E-38,0.0089,2000.0,1800.0,4800.0,3799999.9999999995,2500.0,1400.0,1900.0,220.0,2300.0,0.17,3899999.9999999995,1.8E-5,0.046,0.046,0.0,330.0,6.8,0.0,0.0,2.3E7,1.0,7.1E8,
